seed	modeltype	epochs	datasetindex	nsites	true_pos	true_neg	false_pos	false_neg	distance
1	mice	0	4	5	499	2	498	1	6
1	mice	0	4	5	499	1	499	1	8
1	mice	0	4	5	499	0	500	1	10
4	mice	0	5	5	0	500	0	500	0
4	mice	0	5	5	0	498	2	500	2
4	mice	0	5	5	27	481	19	473	3
4	mice	0	5	5	43	450	50	457	5
4	mice	0	5	5	52	437	63	448	6
4	mice	0	5	5	66	426	74	434	8
4	mice	0	5	5	98	395	105	402	10
8	mice	0	6	5	0	500	0	500	0
8	mice	0	6	5	0	500	0	500	2
8	mice	0	6	5	0	500	0	500	3
8	mice	0	6	5	26	478	22	474	5
8	mice	0	6	5	72	428	72	428	6
8	mice	0	6	5	185	331	169	315	8
8	mice	0	6	5	310	224	276	190	10
3	mice	0	7	5	0	500	0	500	0
3	mice	0	7	5	0	500	0	500	2
3	mice	0	7	5	2	497	3	498	3
3	mice	0	7	5	10	489	11	490	5
3	mice	0	7	5	12	486	14	488	6
3	mice	0	7	5	69	421	79	431	8
3	mice	0	7	5	80	400	100	420	10
3	mice	0	8	5	0	500	0	500	0
3	mice	0	8	5	0	500	0	500	2
3	mice	0	8	5	0	500	0	500	3
3	mice	0	8	5	0	500	0	500	5
3	mice	0	8	5	5	498	2	495	6
3	mice	0	8	5	142	387	113	358	8
3	mice	0	8	5	327	179	321	173	10
10	mice	0	9	5	0	500	0	500	0
10	mice	0	9	5	101	416	84	399	2
10	mice	0	9	5	229	272	228	271	3
10	mice	0	9	5	386	116	384	114	5
10	mice	0	9	5	490	14	486	10	6
10	mice	0	9	5	498	11	489	2	8
10	mice	0	9	5	500	0	500	0	10
8	mice	0	10	5	0	500	0	500	0
8	mice	0	10	5	0	500	0	500	2
8	mice	0	10	5	0	500	0	500	3
8	mice	0	10	5	3	495	5	497	5
8	mice	0	10	5	214	295	205	286	6
8	mice	0	10	5	258	260	240	242	8
8	mice	0	10	5	311	210	290	189	10
7	mice	0	11	5	0	500	0	500	0
7	mice	0	11	5	38	463	37	462	2
7	mice	0	11	5	50	457	43	450	3
7	mice	0	11	5	80	434	66	420	5
7	mice	0	11	5	110	403	97	390	6
7	mice	0	11	5	243	289	211	257	8
7	mice	0	11	5	338	188	312	162	10
11	mice	0	12	5	0	500	0	500	0
11	mice	0	12	5	0	500	0	500	2
11	mice	0	12	5	0	500	0	500	3
11	mice	0	12	5	50	429	71	450	5
11	mice	0	12	5	183	299	201	317	6
11	mice	0	12	5	280	212	288	220	8
