seed	datasetindex	modeltype	nsites	oddsdeltatrain	oddsdelta
12	5	mice	20	2.6767304353412884	6.119978524228191
13	5	mice	20	2.69639895441938	5.630462080806544
14	5	mice	20	3.37827090778741	6.110114309720602
15	5	mice	20	2.2887709266978304	5.706642797729617
1	6	mice	20	4.211776306296911	6.055684870205256
2	6	mice	20	5.327440755341858	6.770628895901961
3	6	mice	20	4.389328106695112	6.576163806800422
4	6	mice	20	4.306618407641579	7.24886856306485
5	6	mice	20	5.8020575526182165	6.980079219651302
6	6	mice	20	4.77992195879856	6.867097050398153
7	6	mice	20	4.910292411020773	7.308791662747878
8	6	mice	20	3.7133079147674883	6.491394469644001
9	6	mice	20	4.560634137410784	6.876965098888453
10	6	mice	20	4.741786209314903	6.594439561491649
11	6	mice	20	3.3149036184575014	6.548361669482818
12	6	mice	20	3.828186577254924	6.6493204555431324
13	6	mice	20	4.877311838647338	6.559451893517135
14	6	mice	20	3.684716825964726	6.826004925655073
15	6	mice	20	4.576324810976387	6.754295517444793
1	7	mice	20	3.1567255194658577	4.226441331911765
2	7	mice	20	3.7365098396478316	4.294934614847981
3	7	mice	20	3.667095406380819	3.947480730706998
4	7	mice	20	3.5688156353103273	4.054601374323742
5	7	mice	20	2.8771405951222135	3.934904529808834
6	7	mice	20	3.259025812363573	3.9654923386832017
7	7	mice	20	2.44645589354514	4.122443410459389
8	7	mice	20	4.294479527606209	4.514328552919837
9	7	mice	20	3.7871879437174925	4.173535574926428
10	7	mice	20	5.186849417521011	4.454097109232589
11	7	mice	20	3.8516414496952005	4.524696042921823
12	7	mice	20	3.908905450259167	4.200903708985777
13	7	mice	20	4.576136513516241	4.561091858026767
14	7	mice	20	3.4081811805855913	4.744110866362215
15	7	mice	20	3.7729937907620728	4.503466684577871
1	8	mice	20	4.829752604503124	8.442759257447502
2	8	mice	20	4.108243641177564	8.067170329141769
